comment_id,docket_id,agency,category,topic,posted_date,submitter_name,submitter_type,word_count,ai_score,ai_assisted,human_score
USCIS-2025-0004-3735,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-04-14,,Unknown,333,0.0,,1.0
USCIS-2025-0004-3739,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-04-14,,Unknown,61,0.0,,1.0
USCIS-2025-0004-3779,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-04-14,,Unknown,78,0.0,,1.0
USCIS-2025-0004-3776,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-04-14,,Unknown,59,0.0,,1.0
USCIS-2025-0004-3707,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-04-14,,Unknown,299,0.0,,1.0
USCIS-2025-0004-3700,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-04-14,,Unknown,138,0.0,,1.0
USCIS-2025-0004-3769,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-04-14,,Unknown,160,1.0,,0.0
USCIS-2025-0004-3786,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-04-14,,Unknown,137,0.0,,1.0
USCIS-2025-0004-3789,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-04-14,,Unknown,319,0.0,,1.0
USCIS-2025-0004-3703,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-04-14,,Unknown,52,0.0,,1.0
USCIS-2025-0004-0142,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-04-01,,Unknown,561,0.0,,1.0
USCIS-2025-0004-0162,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-04-02,,Unknown,58,0.0,,1.0
USCIS-2025-0004-0122,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-03-31,,Unknown,152,1.0,,0.0
USCIS-2025-0004-0165,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-04-02,,Unknown,163,0.0,,1.0
USCIS-2025-0004-0164,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-04-02,,Unknown,76,1.0,,0.0
USCIS-2025-0004-0146,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-04-02,,Unknown,62,0.0,,1.0
USCIS-2025-0004-0144,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-04-01,,Unknown,177,0.0,,1.0
USCIS-2025-0004-0087,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-03-27,,Unknown,67,0.0,,1.0
USCIS-2025-0004-0096,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-03-28,,Unknown,57,0.0,,1.0
USCIS-2025-0004-0173,USCIS-2025-0004,USCIS,political_immigration,immigration,2025-04-02,,Unknown,174,0.0,,1.0
USCIS-2025-0003-0341,USCIS-2025-0003,USCIS,political_immigration,immigration,2025-03-24,,Unknown,51,0.0,,1.0
USCIS-2025-0003-0477,USCIS-2025-0003,USCIS,political_immigration,immigration,2025-03-24,,Unknown,118,0.0,,1.0
USCIS-2025-0003-0352,USCIS-2025-0003,USCIS,political_immigration,immigration,2025-03-24,,Unknown,114,0.0,,1.0
USCIS-2025-0003-0393,USCIS-2025-0003,USCIS,political_immigration,immigration,2025-03-24,,Unknown,101,0.0,,1.0
USCIS-2025-0003-0317,USCIS-2025-0003,USCIS,political_immigration,immigration,2025-03-24,,Unknown,135,0.0,,1.0
USCIS-2025-0003-0476,USCIS-2025-0003,USCIS,political_immigration,immigration,2025-03-24,,Unknown,54,0.0,,1.0
USCIS-2025-0003-0370,USCIS-2025-0003,USCIS,political_immigration,immigration,2025-03-24,,Unknown,81,0.0,,1.0
USCIS-2025-0003-0384,USCIS-2025-0003,USCIS,political_immigration,immigration,2025-03-24,,Unknown,87,0.0,,1.0
USCIS-2025-0003-0330,USCIS-2025-0003,USCIS,political_immigration,immigration,2025-03-24,,Unknown,74,0.0,,1.0
USCIS-2025-0003-0406,USCIS-2025-0003,USCIS,political_immigration,immigration,2025-03-24,,Unknown,57,0.0,,1.0
USCIS-2025-0003-0478,USCIS-2025-0003,USCIS,political_immigration,immigration,2025-03-24,,Unknown,64,0.0,,1.0
USCIS-2025-0003-0643,USCIS-2025-0003,USCIS,political_immigration,immigration,2025-03-25,,Unknown,131,0.0,,1.0
USCIS-2025-0003-0316,USCIS-2025-0003,USCIS,political_immigration,immigration,2025-03-24,,Unknown,236,0.0,,1.0
