comment_id,docket_id,agency,category,year,posted_date,word_count,ai_score,ai_assisted,human_score
IRS-2019-0039-6019,IRS-2019-0039,IRS,finance,2019,2019-12-09,58,1.0,0.0,0.0
IRS-2019-0039-6065,IRS-2019-0039,IRS,finance,2019,2019-12-09,68,0.0,0.0,1.0
IRS-2019-0039-3313,IRS-2019-0039,IRS,finance,2019,2019-12-06,50,0.0,0.0,1.0
IRS-2019-0039-3288,IRS-2019-0039,IRS,finance,2019,2019-12-06,128,0.0,0.0,1.0
IRS-2020-0037-0003,IRS-2020-0037,IRS,finance,2020,2020-10-06,363,0.0,0.0,1.0
IRS-2020-0016-3558,IRS-2020-0016,IRS,finance,2020,2020-07-27,413,0.0,0.0,1.0
IRS-2019-0056-0019,IRS-2019-0056,IRS,finance,2020,2020-01-08,288,0.0,0.0,1.0
IRS-2020-0016-0014,IRS-2020-0016,IRS,finance,2020,2020-06-22,221,0.0,0.0,1.0
IRS-2020-0016-10101,IRS-2020-0016,IRS,finance,2020,2020-08-10,202,0.0,0.0,1.0
IRS-2020-0016-6612,IRS-2020-0016,IRS,finance,2020,2020-08-03,111,0.0,0.0,1.0
IRS-2020-0016-7368,IRS-2020-0016,IRS,finance,2020,2020-08-07,75,0.0,0.0,1.0
IRS-2020-0016-11407,IRS-2020-0016,IRS,finance,2020,2020-08-10,216,0.0,0.0,1.0
IRS-2020-0016-6570,IRS-2020-0016,IRS,finance,2020,2020-07-31,68,0.0,0.0,1.0
IRS-2019-0056-0039,IRS-2019-0056,IRS,finance,2020,2020-02-03,72,0.0,0.0,1.0
IRS-2020-0016-6606,IRS-2020-0016,IRS,finance,2020,2020-08-03,349,0.0,0.0,1.0
IRS-2019-0054-0009,IRS-2019-0054,IRS,finance,2020,2020-02-05,120,0.0,0.0,1.0
IRS-2020-0016-6634,IRS-2020-0016,IRS,finance,2020,2020-08-03,171,0.0,0.0,1.0
IRS-2020-0016-0007,IRS-2020-0016,IRS,finance,2020,2020-06-16,222,0.0,0.0,1.0
IRS-2020-0016-6613,IRS-2020-0016,IRS,finance,2020,2020-08-03,140,0.0,0.0,1.0
IRS-2019-0056-0023,IRS-2019-0056,IRS,finance,2020,2020-01-28,146,0.0,0.0,1.0
IRS-2020-0016-7353,IRS-2020-0016,IRS,finance,2020,2020-08-07,195,0.0,0.0,1.0
IRS-2020-0016-11609,IRS-2020-0016,IRS,finance,2020,2020-08-10,175,0.0,0.0,1.0
